abash,abashed,abashed
abate,abated,abated
abide,abode,abode
absorb,absorbed,absorbed
accept,accepted,accepted
accompany,accompanied,accompanied
ache,ached,ached
achieve,achieved,achieved
acquire,acquired,acquired
act,acted,acted
add,added,added
address,addressed,addressed
adjust,adjusted,adjusted
admire,admired,admired
admit,admitted,admitted
advise,advised,advised
afford,afforded,afforded
agree,agreed,agreed
alight,alit,alit
allow,allowed,allowed
animate,animated,animated
announce,announced,announced
answer,answered,answered
apologize,apologized,apologized
appear,appeared,appeared
applaud,applauded,applauded
apply,applied,applied
approach,approached,approached
approve,approved,approved
argue,argued,argued
arise,arose,arisen
arrange,arranged,arranged
arrest,arrested,arrested
ask,asked,asked
assert,asserted,asserted
assort,assorted,assorted
astonish,astonished,astonished
attack,attacked,attacked
attend,attended,attended
attract,attracted,attracted
audit,audited,audited
avoid,avoided,avoided
awake,awoke,awoken
bang,banged,banged
banish,banished,banished
bash,bashed,bashed
bat,batted,batted
"be (am,are)",was / were,been
bear,bore,born
bear,bore,borne
beat,beat,beaten
beautify,beautified,beautified
become,became,become
befall,befell,befallen
beg,begged,begged
begin,began,begun
behave,behaved,behaved
behold,beheld,beheld
believe,believed,believed
belong,belonged,belonged
bend,bent,bent
bereave,bereft,bereft
beseech,besought,besought
bet,bet,bet
betray,betrayed,betrayed
bid,bade,bidden
bid,bid,bid
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
bless,blessed,blessed
blossom,blossomed,blossomed
blow,blew,blown
blur,blurred,blurred
blush,blushed,blushed
board,boarded,boarded
boast,boasted,boasted
boil,boiled,boiled
bow,bowed,bowed
box,boxed,boxed
bray,brayed,brayed
break,broke,broken
breathe,breathed,breathed
breed,bred,bred
bring,brought,brought
broadcast,broadcast,broadcast
brush,brushed,brushed
build,built,built
burn,burnt,burnt
burst,burst,burst
bury,buried,buried
bust,bust,bust
buy,bought,bought
buzz,buzzed,buzzed
calculate,calculated,calculated
call,called,called
canvass,canvassed,canvassed
capture,captured,captured
caress,caressed,caressed
carry,carried,carried
carve,carved,carved
cash,cashed,cashed
cast,cast,cast
catch,caught,caught
cause,caused,caused
cease,ceased,ceased
celebrate,celebrated,celebrated
challenge,challenged,challenged
change,changed,changed
charge,charged,charged
chase,chased,chased
chat,chatted,chatted
check,checked,checked
cheer,cheered,cheered
chew,chewed,chewed
chide,chid,chid/chidden
chip,chipped,chipped
choke,choked,choked
choose,chose,chosen
classify,classified,classified
clean,cleaned,cleaned
cleave,clove/cleft,cloven/cleft
click,clicked,clicked
climb,climbed,climbed
cling,clung,clung
close,closed,closed
clothe,clad,clad
clutch,clutched,clutched
collapse,collapsed,collapsed
collect,collected,collected
colour,coloured,coloured
come,came,come
comment,commented,commented
compare,compared,compared
compel,compelled,compelled
compete,competed,competed
complain,complained,complained
complete,completed,completed
conclude,concluded,concluded
conduct,conducted,conducted
confess,confessed,confessed
confine,confined,confined
confiscate,confiscated,confiscated
confuse,confused,confused
congratulate,congratulated,congratulated
connect,connected,connected
connote,connoted,connoted
conquer,conquered,conquered
consecrate,consecrated,consecrated
consent,consented,consented
conserve,conserved,conserved
consider,considered,considered
consign,consigned,consigned
consist,consisted,consisted
console,consoled,consoled
consort,consorted,consorted
conspire,conspired,conspired
constitute,constituted,constituted
constrain,constrained,constrained
construct,constructed,constructed
construe,construed,construed
consult,consulted,consulted
contain,contained,contained
contemn,contemned,contemned
contend,contended,contended
contest,contested,contested
continue,continued,continued
contract,contracted,contracted
contradict,contradicted,contradicted
contrast,contrasted,contrasted
contribute,contributed,contributed
contrive,contrived,contrived
control,controlled,controlled
convene,convened,convened
converge,converged,converged
converse,conversed,conversed
convert,converted,converted
convey,conveyed,conveyed
convict,convicted,convicted
convince,convinced,convinced
coo,cooed,cooed
cook,cooked,cooked
cool,cooled,cooled
co-operate,co-operated,co-operated
cope,coped,cope
copy,copied,copied
correct,corrected,corrected
correspond,corresponded,corresponded
corrode,corroded,corroded
corrupt,corrupted,corrupted
cost,cost,cost
cough,coughed,coughed
counsel,counselled,counselled
count,counted,counted
course,coursed,coursed
cover,covered,covered
cower,cowered,cowered
crack,cracked,cracked
crackle,crackled,crackled
crash,crashed,crashed
crave,craved,craved
create,created,created
creep,crept,crept
crib,cribbed,cribbed
cross,crossed,crossed
crowd,crowded,crowded
crush,crushed,crushed
cry,cried,cried
curb,curbed,curbed
cure,cured,cured
curve,curved,curved
cut,cut,cut
cycle,cycled,cycled
damage,damaged,damaged
damp,damped,damped
dance,danced,danced
dare,dared,dared
dash,dashed,dashed
dazzle,dazzled,dazzled
deal,dealt,dealt
decay,decayed,decayed
decide,decided,decided
declare,declared,declared
decorate,decorated,decorated
decrease,decreased,decreased
dedicate,dedicated,dedicated
delay,delayed,delayed
delete,deleted,deleted
deny,denied,denied
depend,depended,depended
deprive,deprived,deprived
derive,derived,derived
describe,described,described
desire,desired,desired
destroy,destroyed,destroyed
detach,detached,detached
detect,detected,detected
determine,determined,determined
develop,developed,developed
die,died,died
differ,differed,differed
dig,dug,dug
digest,digested,digested
dim,dimmed,dimmed
diminish,diminished,diminished
dine,dined,dined
dip,dipped,dipped
direct,directed,directed
disappear,disappeared,disappeared
discover,discovered,discovered
discuss,discussed,discussed
disobey,disobeyed,disobeyed
display,displayed,displayed
dispose,disposed,disposed
distribute,distributed,distributed
disturb,disturbed,disturbed
disuse,disused,disused
dive,dived�,dived
divide,divided,divided
do,did,done
donate,donated,donated
download,downloaded,downloaded
drag,dragged,dragged
draw,drew,drawn
dream,dreamt,dreamt
dress,dressed,dressed
drill,drilled,drilled
drink,drank,drunk
drive,drove,driven
drop,dropped,dropped
dry,dried,dried
dump,dumped,dumped
dwell,dwelt,dwelt
dye,dyed,dyed
earn,earned,earned
eat,ate,eaten
educate,educated,educated
empower,empowered,empowered
empty,emptied,emptied
encircle,encircled,encircled
encourage,encouraged,encouraged
encroach,encroached,encroached
endanger,endangered,endangered
endorse,endorsed,endorsed
endure,endured,endured
engrave,engraved,engraved
enjoy,enjoyed,enjoyed
enlarge,enlarged,enlarged
enlighten,enlightened,enlightened
enter,entered,entered
envy,envied,envied
erase,erased,erased
escape,escaped,escaped
evaporate,evaporated,evaporated
exchange,exchanged,exchanged
exclaim,exclaimed,exclaimed
exclude,excluded,excluded
exist,existed,existed
expand,expanded,expanded
expect,expected,expected
explain,explained,explained
explore,explored,explored
express,expressed,expressed
extend,extended,extended
eye,eyed,eyed
face,faced,faced
fail,failed,failed
faint,fainted,fainted
fall,fell,fallen
fan,fanned,fanned
fancy,fancied,fancied
favour,favoured,favoured
fax,faxed,faxed
feed,fed,fed
feel,felt,felt
ferry,ferried,ferried
fetch,fetched,fetched
fight,fought,fought
fill,filled,filled
find,found,found
